,sold_price,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,garage,fireplaces,sqrt_ft,kitchen_features,floor_covering,HOA,zipcode
4222,562500.0,-111.067318,32.429903,0.19,5390.03,2012,3,3.0,2.0,1.0,2729.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Closet, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: granite, Microwave: Stainless, Oven: Stainless",Concrete,40.0,85658
4223,468000.0,-110.909907,32.223664,0.54,2664.72,1940,4,4.0,2.0,2.0,2915.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven","Concrete, Mexican Tile, Other",0.0,85716
4224,580000.0,-110.993623,32.32457,0.72,4167.26,2005,4,4.0,3.0,2.0,3278.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",40.0,85704
4225,585000.0,-110.731248,32.265255,0.97,4600.47,2002,4,4.0,3.0,1.0,3668.0,"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Ceramic Tile",25.0,85749
4226,575000.0,-110.986028,32.426201,0.53,5574.0,1999,4,4.0,3.0,2.0,3040.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",40.0,85755
4227,585000.0,-110.831898,32.318216,1.1,8536.61,1992,5,4.0,3.0,1.0,4168.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven","Carpet, Mexican Tile, Wood",80.0,85750
4228,575000.0,-110.959251,32.30129,1.28,5524.0,1994,4,3.0,3.0,1.0,3800.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",0.0,85718
4229,570000.0,-110.967718,32.404845,0.38,5418.32,2006,3,3.0,3.0,3.0,2820.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",50.0,85737
4230,585000.0,-110.862909,32.287239,1.11,5558.22,1986,3,4.0,2.0,3.0,3387.0,"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Mexican Tile",25.0,85750
4231,600000.0,-111.054653,32.417471,0.19,1030.75,2015,3,4.0,2.0,1.0,2503.0,"Dishwasher, Refrigerator, Microwave, Oven","Concrete, Natural Stone",48.0,85658
4232,580000.0,-111.068133,32.314217,3.81,7117.77,2008,3,4.0,3.0,3.0,4839.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",45.0,85743
4233,573300.0,-110.967981,32.333787,2.1,4593.59,1959,3,3.0,2.0,1.0,4017.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",0.0,85704
4234,585000.0,-111.06653,32.391554,3.31,7178.74,2008,5,4.0,3.0,1.0,3975.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",0.0,85742
4235,575000.0,-110.876899,32.325131,1.07,4366.7,1992,3,3.0,2.0,2.0,2590.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Mexican Tile",258.0,85718
4236,565000.0,-110.765575,32.153709,0.25,4371.87,2010,3,3.0,5.0,0.0,2956.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Concrete, Wood",75.0,85747
4237,555000.0,-111.022899,32.349957,0.58,4063.1,1971,3,3.0,3.0,2.0,2679.0,Garbage Disposal,"Carpet, Ceramic Tile",10.0,85742
4238,565000.0,-110.88773,32.263486,0.34,6326.0,2003,4,3.0,3.0,1.0,2822.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",184.0,85712
4239,570000.0,-111.082223,32.309449,3.37,6194.44,2001,4,4.0,3.0,2.0,2838.0,"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Mexican Tile",62.0,85743
4240,575000.0,-110.984369,32.33017,0.84,5325.42,1999,4,4.0,3.0,2.0,2900.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Ceramic Tile, Wood",0.0,85704
4241,548917.0,-111.005766,32.441713,8.03,9051.77,1981,3,3.0,3.0,0.0,2529.0,"Dishwasher, Garbage Disposal, Oven","Carpet, Ceramic Tile",42.0,85737
4242,565000.0,-110.901598,32.515766,0.26,3072.38,2005,3,3.0,3.0,1.0,2654.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Ceramic Tile,165.0,85739
4243,565000.0,-110.813327,32.28888,1.21,7023.0,1997,4,4.0,3.0,3.0,3635.0,"Dishwasher, Microwave, Oven","Carpet, Ceramic Tile",19.0,85750
4244,535000.0,-110.907931,32.326803,0.7,4560.86,1971,3,2.0,1.0,2.0,2714.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave","Carpet, Ceramic Tile, Natural Stone",75.0,85718
4245,550000.0,-110.903111,32.520079,0.2,3813.6,2002,3,3.0,3.0,1.0,2861.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Ceramic Tile,128.0,85739
4246,566500.0,-110.907493,32.318918,0.17,3513.0,1987,3,3.0,2.0,1.0,2394.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",295.0,85718
4247,585000.0,-111.087087,32.459629,0.71,8211.0,2007,3,4.0,3.0,1.0,3811.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",76.0,85658
4248,530000.0,-110.912175,32.306467,1.35,4503.0,1995,4,3.0,3.0,3.0,3004.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven","Carpet, Natural Stone",21.0,85718
4249,565000.0,-110.831849,32.29307,0.22,5313.67,2006,4,3.0,3.0,2.0,3010.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",90.0,85750
4250,545000.0,-111.017768,32.426997,3.2,5459.47,2002,5,3.0,5.0,1.0,3749.0,"Dishwasher, Microwave, Oven",Other,0.0,85755
4251,526500.0,-111.079729,32.387369,3.31,3377.44,2004,4,3.0,3.0,1.0,2726.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Concrete,0.0,85742
4252,572500.0,-111.06766,32.238416,1.61,8078.54,2005,5,4.0,3.0,2.0,3264.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",88.0,85745
4253,550000.0,-110.983055,32.408645,1.14,4459.78,1987,4,3.0,3.0,3.0,3378.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Mexican Tile, Wood",6.0,85737
4254,535000.0,-110.887348,32.276859,0.59,3462.5,1977,3,3.0,2.0,2.0,2498.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",3.0,85718
4255,563000.0,-110.989149,32.456218,0.19,5375.53,2001,3,3.0,3.0,0.0,2549.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",92.0,85755
4256,550000.0,-110.930144,32.217592,0.59,3047.06,1948,6,4.0,3.0,1.0,3449.0,"Dishwasher, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",0.0,85716
4257,524000.0,-110.846231,32.300162,1.11,6833.1,1994,4,4.0,0.0,2.0,3427.0,"Dishwasher, Garbage Disposal, Refrigerator","Carpet, Ceramic Tile",0.0,85750
4258,605000.0,-110.805238,32.264011,0.83,6221.22,2004,4,3.0,3.0,2.0,3457.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",105.0,85749
4259,587000.0,-110.926315,32.30305,1.1,5570.99,1969,4,4.0,2.0,2.0,3253.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Concrete","Carpet, Ceramic Tile, Concrete",0.0,85718
4260,550000.0,-110.760396,32.167625,1.22,5622.49,2003,4,4.0,3.0,1.0,4109.0,"Dishwasher, Garbage Disposal",Ceramic Tile,48.0,85730
4261,563242.0,-110.964487,32.229778,0.28,6582.98,1914,5,6.0,3.0,0.0,2816.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Refrigerator, Appliance Color: Stainless","Ceramic Tile, Wood",-1.0,85705
4262,575000.0,-111.052982,32.256951,3.26,6419.0,2003,3,3.0,3.0,1.0,3213.0,"Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Closet, Refrigerator, Water Purifier, Appliance Color: Black, Countertops: Tile, Microwave: -, Oven: -","Mexican Tile, Other: Saltillo",-1.0,85745
